category,rise_probability,rank_up_probability,ranking_score,step1_up_probability,step2_up_probability,step3_up_probability,step4_up_probability
요리,0.36063775420188904,0.43982699513435364,0.6020304560661316,0.3970860540866852,0.6258062720298767,0.3781352639198303,0.3592827320098877
브이로그,0.4394138753414154,0.4704713225364685,0.5875486135482788,0.46768346428871155,0.5445882081985474,0.4557279050350189,0.52238529920578
먹방,0.4073185324668884,0.5064347982406616,0.555170476436615,0.4138208031654358,0.6143825650215149,0.3682624101638794,0.4781447649002075
경제,0.4161253571510315,0.4890184700489044,0.5508912801742554,0.4773470163345337,0.6782098412513733,0.43915697932243347,0.48309358954429626
뉴스시사,0.3586423695087433,0.339955598115921,0.5151207447052002,0.42606717348098755,0.589454174041748,0.4700513482093811,0.4913018047809601
반려동물,0.4104368984699249,0.5273982286453247,0.5138272047042847,0.4044426381587982,0.47013840079307556,0.5376666188240051,0.479783296585083
교육,0.346361368894577,0.4832688570022583,0.49577099084854126,0.40753525495529175,0.38796159625053406,0.4510550796985626,0.40158170461654663
운동,0.3411214053630829,0.40860864520072937,0.48684611916542053,0.4347069263458252,0.48888587951660156,0.38207799196243286,0.3868379592895508
게임,0.2607424557209015,0.4512867331504822,0.4419163465499878,0.4742415249347687,0.4816662073135376,0.43182364106178284,0.447867751121521
뷰티,0.28327369689941406,0.3728715777397156,0.4368963837623596,0.43233823776245117,0.42049896717071533,0.5060282945632935,0.4277035892009735
